+--------------------------------------------------------------------------------------------------+
|Num Toke|Num First Comm|  Num of lexem| First Operand|Num of operand|Second Operand|Num Of Operand|
+--------------------------------------------------------------------------------------------------+
|       1|             2|             1|             0|             0|             0|             0|
|       1|             2|             1|             3|             1|             0|             0|
|       1|             2|             1|             3|             1|             0|             0|
|       1|             2|             1|             3|             1|             0|             0|
|       1|             2|             1|             3|             1|             0|             0|
|       1|             2|             1|             3|             1|             0|             0|
|       1|             2|             1|             3|             1|             0|             0|
|       1|             2|             1|             0|             0|             0|             0|
|       0|             1|             1|             2|             3|             6|             3|
|       1|             2|             1|             0|             0|             0|             0|
|       1|             0|             0|             0|             0|             0|             0|
|       0|             1|             1|             2|             1|             4|             1|
|       0|             1|             1|             2|             1|             4|             1|
|       0|             1|             1|             2|             6|             0|             0|
|       0|             1|             1|             2|             1|             4|             1|
|       0|             1|             1|             2|             1|             4|             1|
|       0|             1|             1|             2|             1|             4|             1|
|       0|             1|             1|             2|             6|             9|             1|
|       0|             1|             1|             2|             6|             9|             1|
|       0|             1|             1|             2|             1|             4|             6|
|       0|             1|             1|             2|             7|            10|             1|
|       0|             1|             1|             2|             1|             0|             0|
|       1|             0|             0|             0|             0|             0|             0|
|       0|             1|             1|             2|             1|             4|             1|
|       0|             1|             1|             2|             1|             0|             0|
|       0|             1|             1|             0|             0|             0|             0|
|       0|             1|             1|             2|             1|             0|             0|
|       1|             2|             1|             0|             0|             0|             0|
|       0|             1|             1|             0|             0|             0|             0|
+--------------------------------------------------------------------------------------------------+
